04.10.2022 - 12:26: 	Для выбора калькулятора рациональных чисел нажмите 1, для комплексных - 2:  	= Ждем ответ.
04.10.2022 - 12:26: 	Введено значение:  	= 1
04.10.2022 - 12:26: 	Введено 1 рациональное число:  	= Ok
04.10.2022 - 12:26: 	Введено 2 рациональное число:  	= Ok
04.10.2022 - 12:26: 	8.0 / -9.0 	= -0.8888888888888888
04.10.2022 - 12:29: 	Для выбора калькулятора рациональных чисел нажмите 1, для комплексных - 2:  	= Ждем ответ.
04.10.2022 - 12:29: 	Введено значение:  	= 2
04.10.2022 - 12:29: 	Введено 2 комплексное число:  	= [999.0, -1.0]
04.10.2022 - 12:30: 	Введено 4 комплексное число:  	= [999.0, -1.0, 1.0, -999.0]
04.10.2022 - 12:30: 	Введено 4 комплексное число:  	= [999.0, -1.0, 1.0, -999.0]
04.10.2022 - 12:30: 	(999-1j) + (1-999j) 	= (1000-1000j)
04.10.2022 - 12:30: 	Для выбора калькулятора рациональных чисел нажмите 1, для комплексных - 2:  	= Ждем ответ.
04.10.2022 - 12:30: 	Введено значение:  	= 2
04.10.2022 - 12:30: 	Введено 2 комплексное число:  	= [5.0, -6.0]
04.10.2022 - 12:30: 	Введено 4 комплексное число:  	= [5.0, -6.0, -8.0, 0.0]
04.10.2022 - 12:30: 	Введено 4 комплексное число:  	= [5.0, -6.0, -8.0, 0.0]
04.10.2022 - 12:30: 	(5-6j) / (-8+0j) 	= (-0.625+0.75j)
04.10.2022 - 12:30: 	Для выбора калькулятора рациональных чисел нажмите 1, для комплексных - 2:  	= Ждем ответ.
04.10.2022 - 12:31: 	Введено значение:  	= 2
04.10.2022 - 12:31: 	Введено 2 комплексное число:  	= [5.0, 8.0]
04.10.2022 - 12:31: 	Введено 4 комплексное число:  	= [5.0, 8.0, 0.0, 0.0]
04.10.2022 - 12:31: 	Введено 4 комплексное число:  	= [5.0, 8.0, 0.0, 0.0]
04.10.2022 - 12:31: 	(5+8j) / 0j 	= Деление на 0 невозможно!
04.10.2022 - 12:31: 	Для выбора калькулятора рациональных чисел нажмите 1, для комплексных - 2:  	= Ждем ответ.
04.10.2022 - 12:31: 	Введено значение:  	= 1
04.10.2022 - 12:31: 	Введено 1 рациональное число:  	= Ok
04.10.2022 - 12:31: 	Введено 2 рациональное число:  	= Ok
04.10.2022 - 12:31: 	11.0 * 6.0 	= 66.0
04.10.2022 - 12:31: 	Для выбора калькулятора рациональных чисел нажмите 1, для комплексных - 2:  	= Ждем ответ.
04.10.2022 - 12:31: 	Сделан неверный выбор - 11. Повторный запрос.  	= False
04.10.2022 - 12:31: 	Сделан неверный выбор - 0. Повторный запрос.  	= False
04.10.2022 - 12:31: 	Введено значение:  	= 1
